SYMBOL,NAME,EXCHANGE
"UMANGDAIRY","Umang Dairies Limited","NSE"
"HINDUNILVR","Hindustan Unilever Limited","NSE"
"JUBLFOOD","Jubilant Foodworks Limited","NSE"
"MARICO","Marico Limited","NSE"
"NESTLEIND","Nestle India Limited","NSE"
"PGHL","Procter & Gamble Health Limited","NSE"
"PATANJALI","Patanjali Foods Limited","NSE"
"TASTYBITE","Tasty Bite Eatables Limited","NSE"
"TATACONSUM","TATA CONSUMER PRODUCTS LIMITED","NSE"
"DMART","Avenue Supermarts Limited","NSE"
"FCONSUMER","Future Consumer Limited","NSE"
"FEL","Future Enterprises Limited","NSE"
"FRETAIL","Future Retail Limited","NSE"
"SHOPERSTOP","Shoppers Stop Limited","NSE"
"V2RETAIL","V2 Retail Limited","NSE"
"VMART","V-Mart Retail Limited","NSE"
"BATAINDIA","Bata India Limited","NSE"
"RELAXO","Relaxo Footwears Limited","NSE"
"BAJAJELEC","Bajaj Electricals Limited","NSE"
"CROMPTON","Crompton Greaves Consumer Electricals Limited","NSE"
"FINCABLES","Finolex Cables Limited","NSE"
"GODREJIND","Godrej Industries Limited","NSE"
"IFBIND","IFB Industries Limited","NSE"
"KEI","KEI Industries Limited","NSE"
"POLYCAB","Polycab India Limited","NSE"
"VGUARD","V-Guard Industries Limited","NSE"
"VOLTAS","Voltas Limited","NSE"
"ADANIGREEN","Adani Green Energy Limited","NSE"
"ADANIPOWER","Adani Power Limited","NSE"
"CGPOWER","CG Power and Industrial Solutions Limited","NSE"
"GVPIL","GE Power India Limited","NSE"
"GVT&D","GE Vernova T&D India Limited","NSE"
"GREENPOWER","Orient Green Power Company Limited","NSE"
"JPPOWER","Jaiprakash Power Ventures Limited","NSE"
"KPIL","Kalpataru Projects International Limited","NSE"
"NHPC","NHPC Limited","NSE"
"RPOWER","Reliance Power Limited","NSE"
"SJVN","SJVN Limited","NSE"
"SUZLON","Suzlon Energy Limited","NSE"
"TATAPOWER","Tata Power Company Limited","NSE"
"TORNTPOWER","Torrent Power Limited","NSE"
"3IINFOLTD","3i Infotech Limited","NSE"
"AFFLE","Affle 3i Limited","NSE"
"CYIENT","Cyient Limited","NSE"
"HAPPSTMNDS","Happiest Minds Technologies Limited","NSE"
"INFY","Infosys Limited","NSE"
"LTM","LTM Limited","NSE"
"ROUTE","ROUTE MOBILE LIMITED","NSE"
"SUBEXLTD","Subex Limited","NSE"
"TANLA","Tanla Platforms Limited","NSE"
"TCS","Tata Consultancy Services Limited","NSE"
"TECHM","Tech Mahindra Limited","NSE"
"WIPRO","Wipro Limited","NSE"
"LEMONTREE","Lemon Tree Hotels Limited","NSE"
"ORIENTHOT","Oriental Hotels Limited","NSE"
"ROHLTD","Royal Orchid Hotels Limited","NSE"
"TAJGVK","Taj GVK Hotels & Resorts Limited","NSE"
"ALOKINDS","Alok Industries Limited","NSE"
"JBFIND","JBF Industries Limited","NSE"
"NDL","Nandan Denim Limited","NSE"
"ORBTEXP","Orbit Exports Limited","NSE"
"PAGEIND","Page Industries Limited","NSE"
"RAYMOND","Raymond Limited","NSE"
"SPAL","S. P. Apparels Limited","NSE"
"TRIDENT","Trident Limited","NSE"
"WELSPUNLIV","Welspun Living Limited","NSE"
"ABB","ABB India Limited","NSE"
"HONAUT","Honeywell Automation India Limited","NSE"
"LMW","LMW Limited","NSE"
"RELIANCE","Reliance Industries Limited","NSE"
"SIEMENS","Siemens Limited","NSE"
"TITAN","Titan Company Limited","NSE"
"BALAMINES","Balaji Amines Limited","NSE"
"SUDARCOLOR","Sudarshan Colorants India Limited","NSE"
"DEEPAKNTR","Deepak Nitrite Limited","NSE"
"DEEPAKFERT","Deepak Fertilizers and Petrochemicals Corporation Limited","NSE"
"ESTER","Ester Industries Limited","NSE"
"GNFC","Gujarat Narmada Valley Fertilizers and Chemicals Limited","NSE"
"KANCHI","Kanchi Karpooram Limited","NSE"
"NAGARFERT","Nagarjuna Fertilizers and Chemicals Limited","NSE"
"ROSSARI","Rossari Biotech Limited","NSE"
"TATACHEM","Tata Chemicals Limited","NSE"
"UPL","UPL Limited","NSE"
"QUESS","Quess Corp Limited","NSE"
"ASTRAMICRO","Astra Microwave Products Limited","NSE"
"BDL","Bharat Dynamics Limited","NSE"
"HAL","Hindustan Aeronautics Limited","NSE"
"SIKA","Sika Interplant Systems Limited","NSE"
"GUJGASLTD","Gujarat Energy Limited (erstwhile Gujarat Gas Limited)","NSE"
"MGL","Mahanagar Gas Limited","NSE"
"JMFINANCIL","JM Financial Limited","NSE"
"PAYTM","One 97 Communications Limited","NSE"
"JSL","Jindal Stainless Limited","NSE"
"JKPAPER","JK Paper Limited","NSE"
"IVP","IVP Limited","NSE"
"RALLIS","Rallis India Limited","NSE"
"ASALCBR","Associated Alcohols & Breweries Ltd.","NSE"
"BEML","BEML Limited","NSE"
"CARTRADE","Cartrade Tech Limited","NSE"
"COCHINSHIP","Cochin Shipyard Limited","NSE"
"DATAPATTNS","Data Patterns (India) Limited","NSE"
"GESHIP","The Great Eastern Shipping Company Limited","NSE"
"GMRP&UI","GMR Power and Urban Infra Limited","NSE"
"GUJENERGY","GUJARAT ENERGY LIMITED","NSE"
"IDEAFORGE","Ideaforge Technology Limited","NSE"
"INTERARCH","Interarch Building Solutions Limited","NSE"
"KAYNES","Kaynes Technology India Limited","NSE"
"KRBL","KRBL Limited","NSE"
"KRN","KRN Heat Exchanger and Refrigeration Limited","NSE"
"LICI","Life Insurance Corporation Of India","NSE"
"LTFOODS","LT Foods Limited","NSE"
"MICEL","MIC Electronics Limited","NSE"
"MOSCHIP","Moschip Technologies Limited","NSE"
"MTARTECH","Mtar Technologies Limited","NSE"
"NETWEB","Netweb Technologies India Limited","NSE"
"NITTAGELA","Nitta Gelatin India Limited","NSE"
"OLAELEC","Ola Electric Mobility Limited","NSE"
"PREMEXPLN","Premier Explosives Limited","NSE"
"RIR","RIR Power Electronics Limited","NSE"
"SCI","Shipping Corporation Of India Limited","NSE"
"SHAKTIPUMP","Shakti Pumps (India) Limited","NSE"
"SPANDANA","Spandana Sphoorty Financial Limited","NSE"
"SUNTECK","Sunteck Realty Limited","NSE"
"TIMKEN","Timken India Limited","NSE"
"TMCV","Tata Motors Limited","NSE"
"VASWANI","Vaswani Industries Limited","NSE"
"VBL","Varun Beverages Limited","NSE"
"WAAREEENER","Waaree Energies Limited","NSE"
"WEBELSOLAR","Websol Energy System Limited","NSE"
"JUNIORBEES","Nippon India ETF Nifty Next 50 Junior BeES","NSE"
"MID150BEES","Nippon India ETF Nifty Midcap 150","NSE"
"SILVERBEES","Nippon India Silver ETF","NSE"
"PHARMABEES","Nippon India ETF Nifty Pharma","NSE"
"GILT5YBEES","Nippon India ETF Nifty 5 Year Benchmark G-Sec","NSE"
"NIFTYBEES","Nippon India ETF Nifty 50 BeES","NSE"
"INFRABEES","Nippon India ETF Nifty Infrastructure BeES","NSE"
"GOLDBEES","Nippon India ETF Gold BeES","NSE"
"ITBEES","Nippon India ETF Nifty IT","NSE"
"SETFGOLD","SBI ETF Gold","NSE"
"SETFNIFBK","SBI ETF Nifty Bank","NSE"
"SETFNN50","SBI ETF Nifty Next 50","NSE"
"IDFNIFTYET","Bandhan Nifty 50 ETF","NSE"
"NIFTYETF","Mirae Asset Nifty 50 ETF","NSE"
"DIACABS","Diamond Power Infrastructure Limited","NSE"
"CUPID","Cupid Limited","NSE"
"ATHERENERG","Ather Energy Limited","NSE"
"MAZDOCK","Mazagon Dock Shipbuilders Limited","NSE"
"GENUSPOWER","Genus Power Infrastructures Limited","NSE"
"KALYANKJIL","Kalyan Jewellers India Limited","NSE"
"INDIANB","Indian Bank","NSE"
"SENCO","Senco Gold Limited","NSE"
